Diseases,Counts
"Hematoma, Subdural, Spinal",1189
Autoimmune Lymphoproliferative Syndrome,1183
Diphyllobothriasis,1177
Zenker Diverticulum,1177
Zellweger Syndrome,1176
Anthracosis,1175
Stargardt Disease,1174
Accessory Atrioventricular Bundle,1174
HIV Wasting Syndrome,1170
"Amnesia, Transient Global",1169
Chronic Traumatic Encephalopathy,1169
Hyperferritinemia,1169
"Hypoadrenocorticism, Familial",1169
Massive Hepatic Necrosis,1168
Leukemoid Reaction,1165
"Tuberculosis, Laryngeal",1163
Myelolipoma,1163
Visna,1162
Goldenhar Syndrome,1161
Proctocolitis,1161
Hymenolepiasis,1160
"Truncus Arteriosus, Persistent",1158
Ageusia,1155
Premenstrual Dysphoric Disorder,1155
Diaphragmatic Eventration,1150
Bovine Respiratory Disease Complex,1147
Angiokeratoma,1146
Hyperacusis,1142
Labyrinthitis,1142
Leukorrhea,1142
Prosopagnosia,1141
Scorpion Stings,1140
Cutis Laxa,1139
Korsakoff Syndrome,1138
Uterine Inertia,1137
Lathyrism,1135
Congenital Microtia,1134
Factor XIII Deficiency,1131
"Candidiasis, Chronic Mucocutaneous",1130
Facial Hemiatrophy,1130
Anisakiasis,1129
Glucagonoma,1127
Cor Triatriatum,1123
Systolic Murmurs,1119
Upper Extremity Deep Vein Thrombosis,1114
Flail Chest,1114
Plagiocephaly,1113
"Pancreatitis, Acute Hemorrhagic",1113
Alagille Syndrome,1112
Cubital Tunnel Syndrome,1112
Alcohol Withdrawal Seizures,1111
"Goiter, Substernal",1111
"Conjunctivitis, Inclusion",1110
"Papilloma, Intraductal",1109
Purpura Fulminans,1108
Periapical Granuloma,1106
Amaurosis Fugax,1100
"Stomatitis, Herpetic",1099
Fructose Intolerance,1098
Autonomic Dysreflexia,1097
"Papilloma, Choroid Plexus",1094
Salter-Harris Fractures,1092
Anisocoria,1092
Prostatism,1092
Retinal Telangiectasis,1091
Hip Contracture,1090
Popliteal Cyst,1088
"Megacolon, Toxic",1086
Dry Socket,1086
"Neuritis, Autoimmune, Experimental",1086
"Protoporphyria, Erythropoietic",1085
"Aphasia, Wernicke",1079
"Tuberculosis, Male Genital",1078
Dentofacial Deformities,1077
Enterobiasis,1075
Ochronosis,1073
Hantavirus Pulmonary Syndrome,1072
"Anemia, Diamond-Blackfan",1070
Mucopolysaccharidosis III,1070
"Pyelonephritis, Xanthogranulomatous",1069
Erythema Chronicum Migrans,1067
Oroantral Fistula,1066
Aicardi Syndrome,1064
Thecoma,1063
Pyometra,1062
Borna Disease,1061
Colles' Fracture,1061
Beriberi,1061
Intrauterine Device Migration,1061
Phaeohyphomycosis,1059
Colloid Cysts,1059
"Tuberculosis, Splenic",1056
"Hyperlipidemia, Familial Combined",1054
Menkes Kinky Hair Syndrome,1052
Kallmann Syndrome,1052
"Encephalomyelitis, Venezuelan Equine",1051
Stiff-Person Syndrome,1048
Intraocular Lymphoma,1043
"Paget's Disease, Mammary",1043
Retinal Dysplasia,1043
Epidermolysis Bullosa Acquisita,1043
Anticholinergic Syndrome,1043
"Ophthalmia, Sympathetic",1041
Histiocytic Necrotizing Lymphadenitis,1040
"Rhinitis, Vasomotor",1039
Vulvodynia,1038
Heterotaxy Syndrome,1038
Thyroid Dysgenesis,1038
"Bulbar Palsy, Progressive",1037
Cheyne-Stokes Respiration,1036
Malacoplakia,1036
Reticulocytosis,1035
Laryngismus,1034
"Diverticulum, Stomach",1033
Lymphomatoid Papulosis,1032
"Nevus, Epithelioid and Spindle Cell",1032
Hemopneumothorax,1028
Hypoalphalipoproteinemias,1028
Piedra,1027
"Thrombocytopenia, Neonatal Alloimmune",1023
Metatarsalgia,1022
Extranodal Extension,1021
"Myasthenia Gravis, Autoimmune, Experimental",1020
Refsum Disease,1020
Thyroid Hormone Resistance Syndrome,1020
"Tuberculoma, Intracranial",1018
Pilomatrixoma,1018
Lateral Medullary Syndrome,1014
Hypervitaminosis A,1014
Feline Acquired Immunodeficiency Syndrome,1012
"Mixed Tumor, Mullerian",1011
Necrobiosis Lipoidica,1011
Ornithine Carbamoyltransferase Deficiency Disease,1010
Multicystic Dysplastic Kidney,1010
Vestibular Neuronitis,1008
Trichiasis,1008
Focal Epithelial Hyperplasia,1007
Emergence Delirium,1007
Sick Building Syndrome,1006
Cerebral Cortical Thinning,1005
Endocardial Cushion Defects,1005
"Pericarditis, Tuberculous",1004
Kearns-Sayre Syndrome,1004
Fused Teeth,1004
Epidermolysis Bullosa Simplex,1004
Persian Gulf Syndrome,1002
Syringoma,1001
Sepsis-Associated Encephalopathy,1000
"Sarcoma, Alveolar Soft Part",999
Shaken Baby Syndrome,995
"Niemann-Pick Disease, Type C",993
Space Motion Sickness,993
Ostertagiasis,991
"Esthesioneuroblastoma, Olfactory",990
Factor XII Deficiency,990
Lymphomatoid Granulomatosis,989
Factor V Deficiency,988
Pityriasis Rubra Pilaris,988
"Panniculitis, Nodular Nonsuppurative",986
"Poliomyelitis, Bulbar",984
"Granuloma, Respiratory Tract",982
Dracunculiasis,980
"Colitis, Lymphocytic",979
Enzootic Bovine Leukosis,978
Enthesopathy,978
"Larva Migrans, Visceral",973
Causalgia,973
"Hydatidiform Mole, Invasive",970
Melkersson-Rosenthal Syndrome,969
AIDS-Associated Nephropathy,968
Megalencephaly,968
Equinus Deformity,966
"Porphyria, Erythropoietic",966
Myotoxicity,964
Peste-des-Petits-Ruminants,963
"Epidermolysis Bullosa, Junctional",963
Ischemic Contracture,960
Esophageal Cyst,957
Acute Generalized Exanthematous Pustulosis,957
Mesenteric Lymphadenitis,956
Boutonneuse Fever,955
"Gangliosidosis, GM1",952
"Leukemia, Basophilic, Acute",950
Ganglioneuroblastoma,949
Synkinesis,944
Tracheobronchomalacia,941
Hypobetalipoproteinemias,941
"Albinism, Ocular",940
"Encephalitis, Varicella Zoster",939
Berylliosis,939
Fowlpox,937
Carcinoid Heart Disease,934
Isolated Noncompaction of the Ventricular Myocardium,934
Erythromelalgia,934
Plasmablastic Lymphoma,933
"Osteoarthropathy, Primary Hypertrophic",930
Caroli Disease,929
Gagging,928
Arachnodactyly,927
Ectopia Lentis,927
Hyperthyroxinemia,922
Epidermodysplasia Verruciformis,920
Tabes Dorsalis,918
"Adenocarcinoma, Sebaceous",918
"Paralysis, Obstetric",918
Smith-Lemli-Opitz Syndrome,915
Enchondromatosis,914
"Nails, Ingrown",914
Genu Valgum,913
Neurocytoma,910
Feline Infectious Peritonitis,907
Scheuermann Disease,904
Dystonia Musculorum Deformans,903
Pseudohypoaldosteronism,902
Fusariosis,901
Multiple Endocrine Neoplasia Type 2b,897
Meconium Ileus,896
"Anemia, Hemolytic, Congenital Nonspherocytic",893
Encopresis,893
Barth Syndrome,890
"Hearing Loss, Mixed Conductive-Sensorineural",889
"Pleuropneumonia, Contagious",887
Leukemia L5178,880
Laryngomalacia,879
"Dermatitis, Photoallergic",877
Postpoliomyelitis Syndrome,872
Diaper Rash,872
Ophthalmia Neonatorum,871
Angioid Streaks,869
Prune Belly Syndrome,869
"Leukemia, Myelomonocytic, Juvenile",868
"Retinal Necrosis Syndrome, Acute",868
Gonadoblastoma,867
Hallux Rigidus,866
Costello Syndrome,865
Rhinoscleroma,864
"Muscular Dystrophy, Emery-Dreifuss",864
Sphincter of Oddi Dysfunction,864
"Elliptocytosis, Hereditary",864
Phencyclidine Abuse,864
Battered Child Syndrome,864
Chancre,863
"Tuberculosis, Avian",860
Tetrasomy,859
Proteus Syndrome,858
"Sweating, Gustatory",858
Amniotic Band Syndrome,857
Silicotuberculosis,856
Wolfram Syndrome,856
Congenitally Corrected Transposition of the Great Arteries,856
Trichostrongylosis,854
Callosities,851
Adenomyoma,850
Uterine Inversion,850
Paraneoplastic Cerebellar Degeneration,849
Silver-Russell Syndrome,847
Nasal Septal Perforation,847
Vitamin K Deficiency Bleeding,847
Hyperglycemic Hyperosmolar Nonketotic Coma,846
Edema Disease of Swine,846
Urinoma,844
Coxa Vara,843
"Leukemia, Large Granular Lymphocytic",841
Pancoast Syndrome,841
Granulomatous Mastitis,840
"Coma, Post-Head Injury",839
Teratozoospermia,839
"Leukemia, Prolymphocytic, T-Cell",838
"Jaundice, Chronic Idiopathic",838
"Leukoplakia, Hairy",837
Pityriasis Rosea,837
Tangier Disease,835
Diffuse Intrinsic Pontine Glioma,833
Tarsal Tunnel Syndrome,832
Gerstmann Syndrome,831
Ciguatera Poisoning,831
"Typhus, Endemic Flea-Borne",828
Hyalohyphomycosis,828
Hutchinson's Melanotic Freckle,826
Splenosis,825
"Gastritis, Hypertrophic",823
Mucopolysaccharidosis VI,821
Adamantinoma,819
Sandhoff Disease,819
Murine Acquired Immunodeficiency Syndrome,818
Postphlebitic Syndrome,817
Meigs Syndrome,815
Rubinstein-Taybi Syndrome,815
Foot Rot,813
Lingual Thyroid,813
"Granuloma, Laryngeal",811
Cri-du-Chat Syndrome,810
"Tuberculosis, Endocrine",807
Blepharophimosis,806
Byssinosis,805
Tertiary Lymphoid Structures,804
Dentinogenesis Imperfecta,802
Bankart Lesions,802
Kasabach-Merritt Syndrome,801
Gitelman Syndrome,796
Nut Hypersensitivity,795
Loiasis,792
"Xanthomatosis, Cerebrotendinous",792
Chilblains,791
Smoldering Multiple Myeloma,788
"Pancreatitis, Graft",788
"Leukemia, Biphenotypic, Acute",786
Felty Syndrome,786
Somnambulism,786
Desmoplastic Small Round Cell Tumor,785
"Dyspnea, Paroxysmal",785
Semicircular Canal Dehiscence,784
Akinetic Mutism,783
"Keratoconjunctivitis, Infectious",782
Platelet Storage Pool Deficiency,781
Pulmonary Blastoma,779
Struma Ovarii,779
Duane Retraction Syndrome,779
Refeeding Syndrome,778
Distal Myopathies,777
Sertoli Cell-Only Syndrome,777
Birt-Hogg-Dube Syndrome,776
Mallory-Weiss Syndrome,776
Bernard-Soulier Syndrome,776
Post-Cardiac Arrest Syndrome,773
"Pain Insensitivity, Congenital",773
Tonic Pupil,772
Hypoaldosteronism,769
"Lymphoma, Primary Cutaneous Anaplastic Large Cell",767
"Onchocerciasis, Ocular",764
"Hernia, Obturator",763
Loeys-Dietz Syndrome,761
"Anemia, Dyserythropoietic, Congenital",761
Abetalipoproteinemia,761
Genu Varum,759
Onycholysis,758
Cervical Rib Syndrome,754
Bunion,753
Pyonephrosis,752
Opsoclonus-Myoclonus Syndrome,750
Retropneumoperitoneum,749
Myokymia,748
"Myopathies, Nemaline",744
Shy-Drager Syndrome,744
Optic Disk Drusen,744
"Ecthyma, Contagious",743
delta-Thalassemia,743
Nocturnal Myoclonus Syndrome,742
Cerebral Ventriculitis,740
"Encephalomyelitis, Eastern Equine",739
Rothmund-Thomson Syndrome,738
Composite Lymphoma,737
"Fibrous Dysplasia, Monostotic",737
Lecithin Cholesterol Acyltransferase Deficiency,736
African Horse Sickness,734
Propionic Acidemia,734
Pantothenate Kinase-Associated Neurodegeneration,733
"Angiomatosis, Bacillary",732
Gerstmann-Straussler-Scheinker Disease,732
Balkan Nephropathy,731
Pemphigoid Gestationis,730
High Pressure Neurological Syndrome,727
Leriche Syndrome,727
Kounis Syndrome,724
Lynch Syndrome II,723
Digital Dermatitis,722
Trigger Finger Disorder,722
Oophoritis,722
Jet Lag Syndrome,721
"Lymphangiectasis, Intestinal",721
Microstomia,719
"Encephalomyelitis, Western Equine",718
"Leukemia, Prolymphocytic, B-Cell",717
"Hip Dysplasia, Canine",716
Pelizaeus-Merzbacher Disease,714
"Actinomycosis, Cervicofacial",713
Hydrophthalmos,713
Olivopontocerebellar Atrophies,712
Swine Vesicular Disease,711
Citrullinemia,711
Glycogen Storage Disease Type V,705
Eunuchism,704
"Esophageal Spasm, Diffuse",702
"Optic Atrophy, Autosomal Dominant",701
Dyscalculia,701
Cone-Rod Dystrophies,699
Favism,697
Isochromosomes,696
"Ichthyosis, X-Linked",695
Feline Panleukopenia,692
May-Thurner Syndrome,692
Nijmegen Breakage Syndrome,690
Cephalopelvic Disproportion,689
Trisomy 18 Syndrome,688
"Bone Demineralization, Pathologic",685
"Pregnancy, Cornual",685
Krukenberg Tumor,684
Brown-Sequard Syndrome,683
"Hemorrhagic Fever, American",682
Angiolipoma,681
"Hyperostosis, Cortical, Congenital",681
Leukostasis,681
Ranula,680
"Pemphigus, Benign Familial",680
Granuloma Inguinale,679
Lemierre Syndrome,679
Platybasia,679
Gingival Hypertrophy,679
Neurofibrosarcoma,678
"Solitary Fibrous Tumor, Pleural",678
Urachal Cyst,675
Pruritus Ani,675
Subacute Combined Degeneration,675
Linear IgA Bullous Dermatosis,667
Sparganosis,666
Uterine Cervical Erosion,666
Herpes Zoster Oticus,665
Biotinidase Deficiency,665
"Nephroma, Mesoblastic",664
Dandruff,664
"Diastasis, Bone",663
Blind Loop Syndrome,663
Autoimmune Hypophysitis,663
Choroideremia,663
"Hyperkeratosis, Epidermolytic",663
Kaposi Varicelliform Eruption,662
Adenosarcoma,662
Lateral Sinus Thrombosis,662
Rhinosporidiosis,659
"Carcinoma, Basosquamous",659
Hallux Varus,659
Tricuspid Valve Prolapse,658
"Lipomatosis, Multiple Symmetrical",657
Latent Autoimmune Diabetes in Adults,657
Retrobulbar Hemorrhage,654
Tick Paralysis,654
Arteriolosclerosis,653
"Muscular Dystrophy, Oculopharyngeal",652
Pericoronitis,652
Ellis-Van Creveld Syndrome,651
Chalazion,650
"Epilepsy, Benign Neonatal",650
"Skull Fracture, Depressed",650
Vitelliform Macular Dystrophy,650
"Hemorrhagic Septicemia, Viral",649
Hyperostosis Frontalis Interna,649
Hyperlipoproteinemia Type I,649
Hydranencephaly,648
"Tachycardia, Ectopic Junctional",646
Wandering Spleen,645
Crigler-Najjar Syndrome,645
"Fibromatosis, Gingival",644
Epilepsia Partialis Continua,642
Ankyloglossia,641
Inhalant Abuse,641
Hand-Arm Vibration Syndrome,640
Nephrogenic Fibrosing Dermopathy,639
Multiple Carboxylase Deficiency,638
"Trophoblastic Tumor, Placental Site",637
Medullary Sponge Kidney,637
Ergotism,637
Laurence-Moon Syndrome,636
Pityriasis Lichenoides,636
Rhinophyma,632
Pelvic Girdle Pain,631
Staphylococcal Scalded Skin Syndrome,630
Leukocyte-Adhesion Deficiency Syndrome,630
Isaacs Syndrome,629
Cardiac Papillary Fibroelastoma,627
Hemoglobin C Disease,627
Factor X Deficiency,627
Bone Retroversion,625
Nesidioblastosis,625
Interatrial Block,625
Aphonia,624
Linitis Plastica,622
Nail-Patella Syndrome,622
Carbuncle,621
"Choriocarcinoma, Non-gestational",621
XYY Karyotype,621
"Reticuloendotheliosis, Avian",619
Canavan Disease,617
Synesthesia,617
Angiomyoma,616
Vipoma,616
Postcholecystectomy Syndrome,616
Lafora Disease,616
Acrospiroma,614
"Nevus, Intradermal",613
Porencephaly,613
Multifocal Choroiditis,610
Salivary Gland Fistula,609
Hematometra,609
Trisomy 13 Syndrome,608
Eosinophilia-Myalgia Syndrome,606
Ichthyosis Vulgaris,606
Chemotherapy-Related Cognitive Impairment,600
Nevus of Ota,599
"Carcinoma, Skin Appendage",597
Orbital Myositis,597
Chromothripsis,597
Acanthoma,595
Dens in Dente,594
Eructation,594
Glycogen Storage Disease Type III,593
"Dendritic Cell Sarcoma, Follicular",591
Craniofacial Fibrous Dysplasia,591
Pectus Carinatum,591
Hematocolpos,591
Rigor Mortis,591
Chlamydial Pneumonia,589
Pyruvate Dehydrogenase Complex Deficiency Disease,589
Bird Fancier's Lung,588
"Positive-Pressure Respiration, Intrinsic",583
Cogan Syndrome,583
Poroma,582
Sotos Syndrome,582
Peliosis Hepatis,581
Erythroplasia,580
Hemimegalencephaly,578
Tolosa-Hunt Syndrome,577
"Gonadal Dysgenesis, Mixed",577
Panophthalmitis,576
Wolf-Hirschhorn Syndrome,576
Mirizzi Syndrome,575
"Dermatitis, Perioral",575
Argyria,575
Acquired Hyperostosis Syndrome,574
Intertrigo,574
Glanders,573
MERRF Syndrome,573
Phlebotomus Fever,572
"Leukemia, Neutrophilic, Chronic",571
Mobius Syndrome,570
Shellfish Hypersensitivity,570
Hydropneumothorax,567
"Anemia, Myelophthisic",566
Exanthema Subitum,565
Scleromyxedema,565
Cherubism,561
Septo-Optic Dysplasia,561
"Pasteurellosis, Pneumonic",560
Paraneoplastic Polyneuropathy,560
Microaneurysm,558
Microvascular Rarefaction,558
Waterhouse-Friderichsen Syndrome,554
"Granuloma, Lethal Midline",554
Smith-Magenis Syndrome,554
Nonodontogenic Cysts,553
Aniseikonia,553
"Pneumonia of Swine, Mycoplasmal",552
Meningism,552
Postpartum Thyroiditis,552
Acro-Osteolysis,550
Gastric Antral Vascular Ectasia,550
Miliaria,550
Shwachman-Diamond Syndrome,549
Pure Autonomic Failure,547
Pseudobulbar Palsy,545
"Phenylketonuria, Maternal",544
Enteropathy-Associated T-Cell Lymphoma,543
Quadricuspid Aortic Valve,543
Heartwater Disease,542
Muir-Torre Syndrome,542
Afferent Loop Syndrome,541
Renal Nutcracker Syndrome,540
Thanatophoric Dysplasia,539
Vasoplegia,539
"Parkinson Disease, Postencephalitic",538
Landau-Kleffner Syndrome,538
Encephalitozoonosis,537
"Insomnia, Fatal Familial",537
"Adenoma, Acidophil",537
Rotator Cuff Tear Arthropathy,537
Posterior Tibial Tendon Dysfunction,535
"Thyroiditis, Suppurative",534
"Adenomatosis, Pulmonary",534
"Enterocolitis, Neutropenic",534
Mesial Movement of Teeth,534
"Tongue, Hairy",534
Spina Bifida Cystica,532
"Odontogenic Cyst, Calcifying",531
Osteopoikilosis,531
Anthracosilicosis,531
Alcoholic Neuropathy,531
Lumpy Skin Disease,529
Myofibromatosis,529
Pruritus Vulvae,528
Swine Erysipelas,526
Typhlitis,526
Cholesterol Ester Storage Disease,526
Aleutian Mink Disease,525
Cementoma,524
Pachyonychia Congenita,524
Striae Distensae,523
Tarsal Coalition,522
Transient Tachypnea of the Newborn,522
Persistent Hyperplastic Primary Vitreous,519
Nuchal Cord,517
Laron Syndrome,516
"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative",515
Kleine-Levin Syndrome,515
Monteggia's Fracture,514
Lymphangiosarcoma,513
Schizencephaly,512
"Apraxia, Ideomotor",511
Tyrosinemias,508
"Panniculitis, Lupus Erythematosus",508
Median Arcuate Ligament Syndrome,507
Idiopathic Hypersomnia,507
Erysipeloid,506
Ludwig's Angina,506
Myofibroma,506
Acute Febrile Encephalopathy,506
Cellulite,506
Enterotoxemia,505
Putaminal Hemorrhage,505
"Panniculitis, Peritoneal",504
Primary Progressive Nonfluent Aphasia,504
Hyper-IgM Immunodeficiency Syndrome,504
LEOPARD Syndrome,502
"Tongue, Fissured",502
"Fibroma, Desmoplastic",501
Pulmonary Subvalvular Stenosis,500
Immersion Foot,500
Charles Bonnet Syndrome,497
"Obesity, Metabolically Benign",496
Oculocerebrorenal Syndrome,495
"Lipodystrophy, Congenital Generalized",494
Myxosarcoma,493
Melorheostosis,493
Laryngocele,493
Lipoblastoma,492
Apudoma,492
"Carcinoma, Krebs 2",488
Postpericardiotomy Syndrome,487
"Leishmaniasis, Diffuse Cutaneous",486
Porcine Postweaning Multisystemic Wasting Syndrome,486
Mevalonate Kinase Deficiency,486
Walker-Warburg Syndrome,486
Wolman Disease,486
Papillon-Lefevre Disease,485
"Hepatitis D, Chronic",483
"Dermatitis, Toxicodendron",482
Tinea cruris,481
"Plasma Cell Granuloma, Pulmonary",481
Vaginismus,480
Parturient Paresis,480
Anterior Spinal Artery Syndrome,478
"Mesothelioma, Cystic",477
Paroxysmal Hemicrania,477
Dihydropyrimidine Dehydrogenase Deficiency,477
Langerhans Cell Sarcoma,476
"Urinary Bladder, Underactive",473
Mucopolysaccharidosis VII,473
"Vomiting, Anticipatory",464
Acrodynia,462
Opium Dependence,461
Kashin-Beck Disease,460
Hyperekplexia,460
Somatostatinoma,458
Lipoid Proteinosis of Urbach and Wiethe,458
"Nevus, Sebaceous of Jadassohn",456
Coronary-Subclavian Steal Syndrome,456
Netherton Syndrome,456
"Mucinosis, Follicular",455
Focal Dermal Hypoplasia,453
Myocardial Contusions,453
Retrocaval Ureter,452
alpha-Mannosidosis,452
Acute Retroviral Syndrome,450
"Mixed Tumor, Mesodermal",449
Mikulicz' Disease,449
Popliteal Artery Entrapment Syndrome,449
Ascaridiasis,447
"Porphyria, Variegate",447
"Hyperglycinemia, Nonketotic",443
Pinta,441
Hermanski-Pudlak Syndrome,441
Periventricular Nodular Heterotopia,440
Gnathostomiasis,438
Discrete Subaortic Stenosis,438
Malignant Catarrh,437
Parasystole,437
Post-Exercise Hypotension,434
"Glossitis, Benign Migratory",433
"Leukoencephalitis, Acute Hemorrhagic",433
Pelger-Huet Anomaly,433
Scleredema Adultorum,432
Toxic Optic Neuropathy,431
Sjogren-Larsson Syndrome,431
Necatoriasis,430
Meige Syndrome,430
"Ectromelia, Infectious",428
Eccrine Porocarcinoma,428
Rheumatic Nodule,427
"Skull Fracture, Basilar",426
"Keratoderma, Palmoplantar, Diffuse",426
Mastodynia,426
Propofol Infusion Syndrome,426
Adrenal Rest Tumor,425
"Neuroectodermal Tumor, Melanotic",424
Schnitzler Syndrome,423
Striatonigral Degeneration,421
"Lipodystrophy, Familial Partial",421
De Quervain Disease,420
Chronic Exertional Compartment Syndrome,419
"Myopathy, Central Core",419
"Uveitis, Suppurative",417
Susac Syndrome,417
Delayed Emergence from Anesthesia,417
Oesophagostomiasis,416
"Pneumonia, Progressive Interstitial, of Sheep",416
"Paralysis, Hyperkalemic Periodic",416
Echolalia,416
Dentin Dysplasia,415
"Gonadal Dysgenesis, 46,XX",414
Emphysematous Cholecystitis,413
Bilateral Vestibulopathy,412
Night Terrors,412
Ectopia Cordis,409
"Leukemia, Eosinophilic, Acute",406
Yellow Nail Syndrome,405
"Leiomyoma, Epithelioid",404
Alstrom Syndrome,403
Bland White Garland Syndrome,403
Piebaldism,402
Bronchomalacia,400
Romano-Ward Syndrome,399
Tietze's Syndrome,398
Gyrate Atrophy,396
Tick Toxicoses,396
Rat-Bite Fever,395
Visceral Prolapse,392
Iliotibial Band Syndrome,392
Adie Syndrome,391
Caplan Syndrome,390
Gait Apraxia,390
"Carcinoma, Brown-Pearce",389
"Glioma, Subependymal",388
Metatarsus Varus,388
"Lead Poisoning, Nervous System, Adult",388
Sarcoma 37,387
"Plagiocephaly, Nonsynostotic",387
Asthma-Chronic Obstructive Pulmonary Disease Overlap Syndrome,385
"DNA Degradation, Necrotic",381
Paraduodenal Hernia,380
Branchio-Oto-Renal Syndrome,379
Respiratory Aspiration of Gastric Contents,378
Glossoptosis,378
Neuroacanthocytosis,377
Liddle Syndrome,376
Chondromalacia Patellae,375
Acne Conglobata,375
"Hepatitis, Infectious Canine",374
Hydrarthrosis,374
Balantidiasis,373
Herpangina,372
"Pleurodynia, Epidemic",371
Heel Spur,371
"Nevus, Halo",370
"Lung, Hyperlucent",370
Spermatocele,370
Hidrocystoma,366
Lipedema,366
"Eczema, Dyshidrotic",366
Trench Fever,365
"Mastocytoma, Skin",365
Nicolau Syndrome,365
Piriformis Muscle Syndrome,364
Otomycosis,363
Odontodysplasia,363
Hydroa Vacciniforme,362
Erythema Induratum,361
Coxa Valga,361
Tungiasis,360
Pancreaticobiliary Maljunction,360
Pythiosis,359
Diurnal Enuresis,359
Anetoderma,359
Trichosporonosis,356
Isosporiasis,356
Fucosidosis,354
Camurati-Engelmann Syndrome,353
Pars Planitis,351
Inert Gas Narcosis,351
Hypodermyiasis,349
"Conjunctivitis, Acute Hemorrhagic",347
Sneddon Syndrome,345
Vulvar Vestibulitis,344
Cyclosporiasis,341
Neonatal Brachial Plexus Palsy,341
Pycnodysostosis,340
Echogenic Bowel,340
Plummer-Vinson Syndrome,337
"Cerebral Amyloid Angiopathy, Familial",337
Hemospermia,337
Neurolymphomatosis,336
Necrolytic Migratory Erythema,335
Echinostomiasis,333
Denys-Drash Syndrome,332
"Aphasia, Conduction",332
"Coproporphyria, Hereditary",331
Glycogen Storage Disease Type IV,330
"Chondrodysplasia Punctata, Rhizomelic",328
"Decalcification, Pathologic",328
Pubic Symphysis Diastasis,325
"Mineralocorticoid Excess Syndrome, Apparent",325
Vasa Previa,323
Ephemeral Fever,320
"Epilepsy, Partial, Sensory",320
SUNCT Syndrome,319
Tarlov Cysts,318
Chloracne,318
Pulmonary Sclerosing Hemangioma,317
"T-Lymphocytopenia, Idiopathic CD4-Positive",313
HIV Enteropathy,311
Neurothekeoma,311
Glossalgia,311
"Alexia, Pure",311
Tracheobronchomegaly,310
Acne Keloid,309
Jervell-Lange Nielsen Syndrome,308
Necrobiotic Xanthogranuloma,308
Lichen Nitidus,308
Sister Mary Joseph's Nodule,307
"Granulomatosis, Orofacial",307
Pentalogy of Cantrell,307
"Sialometaplasia, Necrotizing",306
Marchiafava-Bignami Disease,305
Atrophic Vaginitis,305
"Odontogenic Tumor, Squamous",301
Argininosuccinic Aciduria,301
Birdshot Chorioretinopathy,298
Gynatresia,298
Aerophagy,297
Cracked Tooth Syndrome,296
Hematocele,296
Accelerated Idioventricular Rhythm,295
GATA2 Deficiency,295
Iridocorneal Endothelial Syndrome,294
Campomelic Dysplasia,291
"Diabetes Mellitus, Lipoatrophic",291
Alcoholic Korsakoff Syndrome,290
Hydrocolpos,290
Louping Ill,289
Giant Axonal Neuropathy,289
Pudendal Neuralgia,289
"Purpura, Hyperglobulinemic",289
Neuroaspergillosis,288
Rumination Syndrome,287
Levocardia,287
"Myasthenia Gravis, Neonatal",286
Hyperargininemia,286
Perinephritis,285
Hammer Toe Syndrome,284
Arcus Senilis,284
Malignant Atrophic Papulosis,284
"Polydipsia, Psychogenic",284
Macrostomia,283
Hartnup Disease,283
Artificial Lens Implant Migration,283
Sunstroke,283
Buschke-Lowenstein Tumor,281
"von Willebrand Disease, Type 1",281
Adenomyoepithelioma,280
Medial Tibial Stress Syndrome,280
Kluver-Bucy Syndrome,280
Abducens Nerve Injury,280
Balanitis Xerotica Obliterans,280
Steatocystoma Multiplex,280
Dicrocoeliasis,279
Colorado Tick Fever,279
Mansonelliasis,278
"Myxomatosis, Infectious",278
"Chondrosarcoma, Clear Cell",278
Ophthalmoplegic Migraine,277
Choroidal Effusions,276
"Pulmonary Adenomatosis, Ovine",275
Parametritis,275
Tinea Favosa,274
Cobblestone Lissencephaly,270
Blackwater Fever,269
"von Willebrand Disease, Type 2",267
Kyasanur Forest Disease,265
"Ectodermal Dysplasia 1, Anhidrotic",265
Short Rib-Polydactyly Syndrome,263
Alien Hand Syndrome,263
"Porphyria, Hepatoerythropoietic",262
Hyperlipoproteinemia Type V,262
Reinjuries,262
Commotio Cordis,260
Gray Platelet Syndrome,260
Hypertriglyceridemic Waist,258
Sialic Acid Storage Disease,257
WAGR Syndrome,256
Ainhum,254
Hamman-Rich Syndrome,254
Myoclonic Cerebellar Dyssynergia,254
Coffin-Lowry Syndrome,254
Canaliculitis,253
Acatalasia,252
Parovarian Cyst,251
Pyelectasis,251
Glomus Tympanicum Tumor,249
Langer-Giedion Syndrome,249
X-Linked Emery-Dreifuss Muscular Dystrophy,249
Chilaiditi Syndrome,247
Immunoproliferative Small Intestinal Disease,245
"Brain Stem Hemorrhage, Traumatic",245
"Keratoderma, Palmoplantar, Epidermolytic",244
"Bulbo-Spinal Atrophy, X-Linked",240
Paraphimosis,240
Erythrasma,238
"Lead Poisoning, Nervous System, Childhood",237
"Pregnancy, Angular",237
Multiple Acyl Coenzyme A Dehydrogenase Deficiency,237
Pneumorrhachis,235
Cystadenofibroma,233
Prolidase Deficiency,233
Donohue Syndrome,232
Monilethrix,232
Post-Lyme Disease Syndrome,228
Alternariosis,228
Myringosclerosis,228
Blue Toe Syndrome,226
"Warburg Effect, Oncologic",225
Familial Exudative Vitreoretinopathies,224
"Diastasis, Muscle",221
